name
,city
,industry
,fortune 1000rank (2018)
,notes

Alpha Video,,entertainment,,

AmerisourceBergen
,Conshohocke , PA
,pharmaceutical
,10
,

Aramark,Philadelphia, PA,hospitality,209,

ASTM International,,publishing,,

Ballard Spahr LLP,Philadelphia, PA,law,,

Beneficial Bank,Philadelphia, PA,financial,,

Blank Rome,Philadelphia, PA,law,,

Brandywine Realty Trust,Philadelphia, PA,real estate,,

Boscov's,Reading, PA,retail,,

Burlington Stores,Burlington, NJ,apparel,459 (in 2017),

Campbell Soup Company,NJ,food,315,

Carpenter Technology Corporation,Philadelphia, PA[1],,,

CDI,Philadelphia, PA,engineering services,,

Checkpoint Systems,Philadelphia, PA,manufacturing,,

Chemtura,Philadelphia, PA,manufacturing,775,

Chemours,Wilmington, DE,chemicals,454,

Comcast,Philadelphia, PA,telecommunications,32,

Comcast,Philadelphia, PA,entertainment,,

Conrail Shared Assets Operations,Philadelphia, PA,railroad,,

Cozen O'Connor,Philadelphia, PA,law,,

Crown Holdings,Philadelphia, PA,packaging,313,

CSS Industries,Philadelphia, PA,manufacturing,,

CubeSmart,Malvern, PA,self-storage facilities,,

Dechert,Philadelphia, PA,law,,

Day & Zimmermann,Philadelphia, PA,construction,,

Disston Precision,Philadelphia, PA,manufacturing,,

Dollar Financial Group,Philadelphia, PA,finance,,

Drinker Biddle & Reath,Philadelphia, PA,law,,

Duane Morris,Philadelphia, PA,law,,

DuPont,Wilmington, DE,chemicals,35,

Ellis Coffee Company,Philadelphia, PA,coffee,,

Endo Pharmaceuticals,,pharmaceuticals,766,

Entercom,Bala Cynwyd, PA,media,,

ERT,Philadelphia, PA,healthcare,,

Fiserv,King of Prussia, PA,financial,,

Five Below,Philadelphia, PA,retail,,

FMC,Philadelphia, PA,chemicals,581,

Fox Rothschild,Philadelphia, PA,law,,

Frankford Candy & Chocolate Company,Philadelphia, PA,food,,

Fuji Advanced Sports,Philadelphia, PA,bicycles,,

Garfield Refining,Philadelphia, PA,precious metal refining,,

Genesis HealthCare,Kennett Square, PA,healthcare,,

Harleysville Group,Harleysville, PA,insurance,,

Hill International,Philadelphia, PA,construction,,

Holtec International,Camden, NJ,nuclear power equipment,,

InterDigital,Wilmington, DE,telecommunications,,

Internet Capital Group,Wayne, PA,finance,,

Iron Stone Strategic Capital Partners,Philadelphia, PA,real estate,,

Kenexa,Wayne, PA,employment solutions,,

Knoll,East Greenville, PA,furniture,,

League Collegiate Wear,Bridgeport, PA,apparel,,

LexisNexis Risk Solutions,King of Prussia, PA,healthcare,,

Liberty Property Trust,Malvern, PA,real estate,,

Lincoln National Corporation,Radnor, PA,insurance,232,

Melior Discovery,Exton, PA,pharmaceuticals,,

Morgan, Lewis & Bockius,Philadelphia, PA,law,,

NutriSystem,Horsham, PA,food,,

PECO Energy,Philadelphia, PA,energy,,

Peddler's Village,Lahaska, PA,entertainment,,

Penn Mutual,Horsham, PA,insurance,,

Penn National Gaming,Wyomissing, PA,entertainment,790,

Pennsylvania Real Estate Investment Trust,Philadelphia, PA,real estate,,

Pep Boys Manny Moe & Jack,Philadelphia, PA,automotive,945,

Pepper Hamilton,Philadelphia, PA,law,,

PHH,,financial,,

Philadelphia Media Network,Philadelphia, PA,newspapers,,

QVC, Inc,West Chester, PA,retail,,

Radian Group,Philadelphia, PA,financial,,

Saul Ewing,Philadelphia, PA,law,,

Schnader, Harrison, Segal & Lewis,Philadelphia, PA,law,,

Stevens & Lee,Reading, PA,law,,

Sunoco,Philadelphia, PA,oil,,

Sungard,Wayne, PA,information technology,585,

Susquehanna International Group,Bala Cynwyd, PA,financial,,

Synygy,Chester, PA,consulting and outsourcing,,

Teleflex,Limerick, PA,manufacturing,,

Teva,North Wales, PA,pharmaceuticals,,

TLA Entertainment Group,Philadelphia, PA,entertainment,,

Toll Brothers,Horsham, PA,construction,791,

UGI,King of Prussia, PA,utilities,362,

Unisys,Blue Bell, PA,information technology,664,

Universal Health Services,King of Prussia, PA,healthcare,324,Listed as (NYSE: UHS); an American Fortune 500 company[2]

Urban Outfitters,Philadelphia, PA,apparel,715,

Vanguard,Malvern, PA,financial,,

ViroPharma,Exton, PA,pharmaceuticals,,

Vishay Intertechnology,Malvern, PA,electronics,868,

VWR International,Radnor, PA,scientific products,583,

Wawa Food Markets,Wawa, PA,convenience stores,
